titre,lien,score
One-Click RCE in Asus's Preinstalled Driver Software,https://mrbruh.com/asusdriverhub/,247 points
The Epochalypse Project,https://epochalypse-project.org/,41 points
Observations from people watching,https://skincontact.substack.com/p/21-observations-from-people-watching,286 points
Fandom sells Giant Bomb to independent creators,https://about.fandom.com/news/fandom-sells-giant-bomb-to-independent-creators,142 points
Fan Service,https://flak.tedunangst.com/post/fan-service,91 points
Sierpiński Triangle? In My Bitwise and?,https://lcamtuf.substack.com/p/sierpinski-triangle-in-my-bitwise,169 points
US vs. Google amicus curiae brief of Y Combinator in support of plaintiffs [pdf],https://storage.courtlistener.com/recap/gov.uscourts.dcd.223205/gov.uscourts.dcd.223205.1300.1.pdf,374 points
Crowd Sourcing Broken QR Codes,https://www.humanqr.com/news/qr-code-not-scanning-well-try-to-help/,17 points
A brief history of the numeric keypad,https://www.doc.cc/articles/a-brief-history-of-the-numeric-keypad,24 points
"For $595, you get what nobody else can give you for twice the price (1982) [pdf]",https://s3data.computerhistory.org/brochures/commodore.commodore64.1982.102646264.pdf,201 points
Show HN: Xenolab – Rasp Pi monitor for my pet carnivourus plants,https://github.com/blackrabbit17/xenolab,103 points
A critical look at MCP,https://raz.sh/blog/2025-05-02_a_critical_look_at_mcp,490 points
Lazarus Release 4.0,https://forum.lazarus.freepascal.org/index.php?topic=71050.0,116 points
Reverse engineering the 386 processor's prefetch queue circuitry,http://www.righto.com/2025/05/386-prefetch-circuitry-reverse-engineered.html,147 points
Absolute Zero: Reinforced Self-Play Reasoning with Zero Data,https://arxiv.org/abs/2505.03335,17 points
On thinkers and doers (2022),https://www.strangeloopcanon.com/p/on-thinkers-and-doers,21 points
Strain gauge made out of PCB,https://github.com/vapetrov/PCB_strain_gauge,68 points
NetBSD 10.x Kernel Math_emulation,https://mezzantrop.wordpress.com/2025/02/04/netbsd-10-x-kernel-math_emulation/,40 points
Why the Apple II Didn't Support Lowercase Letters (2020),https://www.vintagecomputing.com/index.php/archives/2833/why-the-apple-ii-didnt-support-lowercase-letters,95 points
When Suno covers my song (very useful) – a study with variations,http://rochus-keller.ch/?p=1350,40 points
Engineers develop wearable heart attack detection technology,https://medicalxpress.com/news/2025-04-wearable-heart-technology.html,40 points
The State of SSL Stacks,https://www.haproxy.com/blog/state-of-ssl-stacks,95 points
VMware perpetual license holders receive cease-and-desist letters from Broadcom,https://arstechnica.com/gadgets/2025/05/broadcom-sends-cease-and-desist-letters-to-subscription-less-vmware-users/,29 points
Insurers launch cover for losses caused by AI chatbot errors,https://www.ft.com/content/1d35759f-f2a9-46c4-904b-4a78ccc027df,9 points
"Show HN: LoopMix128 – Fast C PRNG (.46ns), 2^128 Period, BigCrush/PractRand Pass",https://github.com/danielcota/LoopMix128,59 points
Embracer Games Archive is preserving 75000 video games and needs contributions,https://embracergamesarchive.com/,173 points
Comparison of C/POSIX standard library implementations for Linux,https://www.etalabs.net/compare_libcs.html,120 points
The Ecstatic Swoon,https://aeon.co/essays/what-stendhal-says-about-the-purpose-and-promise-of-art,5 points
How much information is in DNA?,https://dynomight.substack.com/p/dna,76 points
Arduino is at work to make bio-based PCBs,https://blog.arduino.cc/2025/04/22/arduino-is-at-work-to-make-bio-based-pcbs/,62 points
